genre,na_sales,eu_sales,jp_sales,other_sales,total_sales
action,827500.0,511360.0,148450.0,183520.0,1670830.0
adventure,94340.0,59820.0,46610.0,16060.0,216830.0
fighting,210420.0,96700.0,72310.0,35810.0,415240.0
misc,401310.0,211710.0,100810.0,74220.0,788050.0
platform,334770.0,176720.0,84190.0,47130.0,642810.0
puzzle,72050.0,42910.0,35730.0,10870.0,161560.0
racing,344750.0,232310.0,46940.0,75180.0,699180.0
role_playing,329180.0,188550.0,323330.0,57930.0,898990.0
shooter,534920.0,313330.0,31810.0,103120.0,983180.0
simulation,178770.0,112150.0,62220.0,30540.0,383680.0
sports,670170.0,373320.0,110150.0,134020.0,1287660.0
strategy,68230.0,45080.0,47800.0,10840.0,171950.0
