platform,na_sales,eu_sales,jp_sales,other_sales,total_sales
2600,90600.0,5470.0,0.0,910.0,96980.0
3do,0.0,0.0,100.0,0.0,100.0
3ds,83490.0,61480.0,100670.0,13360.0,259000.0
dc,5430.0,1690.0,8560.0,270.0,15950.0
ds,382400.0,188890.0,175570.0,59260.0,806120.0
gb,114320.0,47820.0,85120.0,8200.0,255460.0
gba,187540.0,75250.0,47330.0,7730.0,317850.0
gc,133460.0,38710.0,21580.0,5180.0,198930.0
gen,21050.0,6050.0,2700.0,970.0,30770.0
gg,0.0,0.0,40.0,0.0,40.0
n64,139020.0,41060.0,34220.0,4380.0,218680.0
nes,125940.0,21150.0,98650.0,5310.0,251050.0
ng,0.0,0.0,1440.0,0.0,1440.0
pc,94530.0,142440.0,170.0,22380.0,259520.0
pcfx,0.0,0.0,30.0,0.0,30.0
ps,336520.0,213610.0,139820.0,40910.0,730860.0
ps2,583840.0,339290.0,139200.0,193440.0,1255770.0
ps3,393490.0,330290.0,80190.0,135680.0,939650.0
ps4,108740.0,141090.0,15960.0,48350.0,314140.0
psp,109170.0,66680.0,76780.0,41420.0,294050.0
psv,12580.0,13120.0,21910.0,6460.0,54070.0
sat,720.0,540.0,32260.0,70.0,33590.0
scd,1000.0,360.0,450.0,50.0,1860.0
snes,61230.0,19040.0,116550.0,3220.0,200040.0
tg16,0.0,0.0,160.0,0.0,160.0
wii,496900.0,262210.0,69330.0,79070.0,907510.0
wiiu,38100.0,25130.0,13010.0,5950.0,82190.0
ws,0.0,0.0,1420.0,0.0,1420.0
x360,602470.0,270760.0,12430.0,85760.0,971420.0
xb,186690.0,60950.0,1380.0,8720.0,257740.0
xone,93120.0,51590.0,340.0,14270.0,159320.0
